Mainplot,Climate,Clim,Clim_LC_5,Landusespecific,Landuse,LC_5,Intensity,ClimateLand,Year,Date,SamplingNo,Season,Plot,Plot_ID,ID_unique,MUB.Xyl,MUB.Cel,MUB.Nag,MUB.Pho,Basal,Cmic,WSA,meanFunction,water.content,pH,carbon,funcMaxed,z.meanFunction,z.water.content,z.pH,z.carbon,z.funcMaxed
1,A,0,0,EM,Grassland,0,Low,A_EM,2019,45048,1,Spring,1,1_1,1,30.5712738,70.7909116,122.433204,320.707723,0.987558342,372.1961686,72.6869318,0.734519468,7.96897,6.15,1.98,5,1.27555433,-1.091633673,-1.28392825,-0.193740018,0.202470313
1,A,0,0,CF,Farmland,1,High,A_CF,2019,45048,1,Spring,1,1_2,2,23.0874738,37.201644,86.2586185,298.463733,0.697323248,244.0307031,71.79695503,0.556641259,8.124118,6.72,1.95,3,-0.549524537,-1.053566986,-0.115556105,-0.452060043,-1.043500842
1,A,0,0,OF,Farmland,1,Low,A_OF,2019,45048,1,Spring,1,1_4,3,22.0399378,39.5603071,87.3303708,210.772308,0.560055569,243.2837466,55.67426825,0.490249519,8.90625,6.52,1.85,3,-1.23072187,-0.861665228,-0.525511243,-1.313126792,-1.043500842
1,A,0,0,IG,Grassland,0,High,A_IG,2019,45048,1,Spring,1,1_5,4,29.5301147,47.2187994,115.496313,340.962009,0.612758635,297.6985702,52.12712738,0.618704694,6.680912,6.27,1.9,5,0.087263208,-1.407668045,-1.037955167,-0.882593417,0.202470313
2,F,1,0,IG,Grassland,0,High,F_IG,2019,45048,1,Spring,2,2_1,5,33.3079715,64.5893711,134.073315,303.660279,1.152777778,436.9323362,54.11973611,0.727092239,7.06383,6.67,2.21,6,1.199348938,-1.313716337,-0.218044889,1.786713503,0.82545589
2,F,1,1,OF,Farmland,1,Low,F_OF,2019,45048,1,Spring,2,2_3,6,24.5050969,41.6924569,96.3696888,249.22903,0.962406648,339.7839201,61.9481206,0.576225722,8.531073,6.68,2.05,5,-0.348582613,-0.953717625,-0.197547132,0.409006706,0.202470313
2,F,1,1,CF,Farmland,1,High,F_CF,2019,45048,1,Spring,2,2_4,7,29.3247987,55.1669788,101.022866,301.964598,0.861567359,305.2574181,54.42914979,0.624361129,8.695035,6.97,2.08,5,0.145299772,-0.91348836,0.396887819,0.66732673,0.202470313
2,F,1,0,EM,Grassland,0,Low,F_EM,2019,45048,1,Spring,2,2_5,8,32.2904236,51.7144282,120.673849,317.289944,1.905987705,559.8452536,53.31527682,0.751573483,12.364672,6.72,2.12,7,1.450533168,-0.013116308,-0.115556105,1.01175343,1.448441467
3,A,0,0,CF,Farmland,1,High,A_CF,2019,45048,1,Spring,3,3_1,9,26.923003,43.9255841,94.1295049,298.904254,0.655774483,252.6809728,57.75486388,0.569730699,7.592068,6.44,1.9,5,-0.415223318,-1.184109312,-0.689493299,-0.882593417,0.202470313
3,A,0,0,OF,Farmland,1,Low,A_OF,2019,45048,1,Spring,3,3_2,10,24.8645374,34.4356007,84.6625755,292.862707,0.483217976,212.2555435,65.12460028,0.527149805,8.26458,6.44,1.92,3,-0.852114887,-1.019103616,-0.689493299,-0.710380068,-1.043500842
3,A,0,0,IG,Grassland,0,High,A_IG,2019,45048,1,Spring,3,3_3,11,31.9468455,45.7788125,117.698543,357.323725,0.769118221,328.2596567,65.83346746,0.669769746,7.592068,6.18,1.97,5,0.611204549,-1.184109312,-1.222434979,-0.279846693,0.202470313
3,A,0,0,EM,Grassland,0,Low,A_EM,2019,45048,1,Spring,3,3_4,12,33.7129206,50.4261939,138.538466,350.775673,1.015578023,390.5506845,62.09662187,0.719640325,8.177966,6.17,2.02,5,1.122890271,-1.040354989,-1.242932736,0.150686681,0.202470313
4,F,1,1,CF,Farmland,1,High,F_CF,2019,45048,1,Spring,4,4_1,13,23.4953212,33.655971,71.5643554,266.926168,0.433084862,244.1858308,54.1933544,0.484453504,6.837607,6.72,1.99,3,-1.290190563,-1.36922179,-0.115556105,-0.107633344,-1.043500842
4,F,1,1,OF,Farmland,1,Low,F_OF,2019,45048,1,Spring,4,4_2,14,25.1316464,44.3939745,88.7973403,255.933961,0.833406712,257.5364266,57.64041143,0.551800995,9.076705,6.71,2.08,4,-0.599186964,-0.819842857,-0.136053862,0.66732673,-0.420515265
4,F,1,0,IG,Grassland,0,High,F_IG,2019,45048,1,Spring,4,4_3,15,30.1696549,46.3828215,95.0975466,305.673931,0.989318885,381.6372549,75.29668273,0.660718028,8.885755,6.23,1.98,5,0.518331457,-0.866693824,-1.119946194,-0.193740018,0.202470313
4,F,1,0,EM,Grassland,0,Low,F_EM,2019,45048,1,Spring,4,4_4,16,30.5892642,39.06445,116.910858,361.632572,1.560632537,341.370188,62.38455802,0.689749982,10.96181,6.26,2.04,6,0.816207211,-0.357318674,-1.058452924,0.322900031,0.82545589
5,A,0,0,OF,Farmland,1,Low,A_OF,2019,45048,1,Spring,5,5_1,17,24.4870711,47.2037449,97.4293373,283.090098,0.706103472,242.5273848,57.71999395,0.563536676,8.751773,6.77,1.78,5,-0.478775681,-0.89956728,-0.01306732,-1.915873516,0.202470313
5,A,0,0,IG,Grassland,0,High,A_IG,2019,45048,1,Spring,5,5_2,18,30.6117805,52.9840166,113.934944,295.412082,0.646687258,344.6519743,48.50804693,0.62009671,7.319149,6.8,1.91,5,0.101545671,-1.251071968,0.048425951,-0.796486742,0.202470313
5,A,0,0,CF,Farmland,1,High,A_CF,2019,45048,1,Spring,5,5_3,19,25.6096762,58.0670234,96.9045976,250.828524,0.626969743,287.8326992,53.93907116,0.575059302,6.794326,7.34,2.06,5,-0.3605504,-1.379841098,1.155304825,0.49511338,0.202470313
5,A,0,0,EM,Grassland,0,Low,A_EM,2019,45048,1,Spring,5,5_5,20,23.7698686,41.7188889,115.792362,258.062424,0.699363146,415.8391583,58.49972487,0.587839518,8.002833,7.15,1.9,5,-0.229421903,-1.08332514,0.765847443,-0.882593417,0.202470313
6,F,1,1,CF,Farmland,1,High,F_CF,2019,45048,1,Spring,6,6_2,21,16.7443113,25.320713,64.8577727,217.149099,0.509968652,260.537318,45.73199065,0.408001677,7.708628,7.21,2.01,1,-2.074607128,-1.155510471,0.888833985,0.064580006,-2.289471996
6,F,1,0,EM,Grassland,0,Low,F_EM,2019,45048,1,Spring,6,6_3,22,20.3774963,35.5867901,113.23749,234.626809,1.225035142,418.0119912,66.55371205,0.590746025,10.226629,7.18,2.05,4,-0.19960035,-0.537700664,0.827340714,0.409006706,-0.420515265
6,F,1,1,OF,Farmland,1,Low,F_OF,2019,45048,1,Spring,6,6_4,23,19.1499592,29.2106531,89.4444482,214.259972,1.115032117,306.6869288,40.04280971,0.47613436,9.589235,7.36,1.91,1,-1.375547246,-0.694089905,1.196300339,-0.796486742,-2.289471996
6,F,1,0,IG,Grassland,0,High,F_IG,2019,45048,1,Spring,6,6_5,24,21.1273449,34.1116565,108.442047,249.003112,0.964600748,315.550262,51.18732198,0.535496068,10.807365,6.93,1.9,4,-0.766479955,-0.395212875,0.314896791,-0.882593417,-0.420515265
7,F,1,1,OF,Farmland,1,Low,F_OF,2019,45048,1,Spring,7,7_1,25,23.4827907,46.0761321,91.6110264,231.600075,0.986318318,330.7565543,66.79537277,0.577247194,10.748588,7.1,2.02,4,-0.338102032,-0.409634238,0.663358659,0.150686681,-0.420515265
7,F,1,0,EM,Grassland,0,Low,F_EM,2019,45048,1,Spring,7,7_2,26,24.2173426,48.6896643,118.922171,255.625211,0.818950666,369.9837118,62.4305886,0.609495451,8.915835,7.01,2.27,5,-0.007226133,-0.859313478,0.478878846,2.303353553,0.202470313
7,F,1,0,IG,Grassland,0,High,F_IG,2019,45048,1,Spring,7,7_4,27,34.6984702,60.8214308,145.572201,288.893842,0.787482883,356.3157086,63.74033358,0.710601558,7.585227,7.02,2.08,5,1.03015006,-1.185787801,0.499376603,0.66732673,0.202470313
7,F,1,1,CF,Farmland,1,High,F_CF,2019,45048,1,Spring,7,7_5,28,21.1288324,37.3033881,78.824391,231.776023,0.810697674,314.9110078,43.30393143,0.489509994,8.769448,7.21,1.98,2,-1.238309598,-0.89523059,0.888833985,-0.193740018,-1.666486419
8,A,0,0,IG,Grassland,0,High,A_IG,2019,45048,1,Spring,8,8_1,29,29.0752373,57.6259996,131.596522,286.445162,0.864415028,556.0585296,89.21323293,0.749840633,7.393768,7.13,2.16,6,1.432753655,-1.232763655,0.72485193,1.356180129,0.82545589
8,A,0,0,EM,Grassland,0,Low,A_EM,2019,45048,1,Spring,8,8_3,30,23.5678481,48.2416284,134.193575,278.365581,0.723982471,477.1722368,86.49318903,0.681039719,7.769886,7.15,2.05,6,0.726837541,-1.140480376,0.765847443,0.409006706,0.82545589
8,A,0,0,CF,Farmland,1,High,A_CF,2019,45048,1,Spring,8,8_4,31,27.3592932,54.1262433,95.4968392,248.877877,0.687651468,287.4383137,70.03497776,0.601216653,8.091168,7.21,1.97,5,-0.092168855,-1.061651508,0.888833985,-0.279846693,0.202470313
8,A,0,0,OF,Farmland,1,Low,A_OF,2019,45048,1,Spring,8,8_5,32,21.2302934,50.6366236,103.058686,232.983654,0.974474982,281.8225323,56.78009138,0.56168124,8.769448,7.23,1.81,5,-0.497812959,-0.89523059,0.929829499,-1.657553491,0.202470313
9,F,1,0,EM,Grassland,0,Low,F_EM,2019,45048,1,Spring,9,9_1,33,29.4793028,46.2964095,138.741684,288.485423,0.76038559,569.6078431,58.86115596,0.683925294,8.368794,6.75,2.2,6,0.756444326,-0.993533955,-0.054062834,1.700606829,0.82545589
9,F,1,0,IG,Grassland,0,High,F_IG,2019,45048,1,Spring,9,9_2,34,20.2931507,32.4778213,91.594374,238.622615,0.786033083,386.1448297,58.12202934,0.52531381,7.414773,7.24,2.17,3,-0.870952695,-1.227609926,0.950327256,1.442286804,-1.043500842
9,F,1,1,CF,Farmland,1,High,F_CF,2019,45048,1,Spring,9,9_3,35,18.385518,27.5975139,61.7912727,233.317908,0.665911886,274.9566421,39.48360598,0.42392741,7.482219,7.42,1.91,1,-1.91120477,-1.211061561,1.319286881,-0.796486742,-2.289471996
9,F,1,1,OF,Farmland,1,Low,F_OF,2019,45048,1,Spring,9,9_5,36,18.371193,35.5959738,82.1200688,203.814281,0.911523404,263.3327,76.48867522,0.515328608,10.664781,7.44,1.81,1,-0.973403587,-0.430196893,1.360282394,-1.657553491,-2.289471996
10,A,0,0,EM,Grassland,0,Low,A_EM,2019,45048,1,Spring,10,10_2,37,31.48693823,62.87616763,170.0756754,290.7794076,0.81970442,524.6973981,53.45091755,0.739034761,7.556818,6.64,2.22,6,1.321882466,-1.192758155,-0.27953816,1.872820178,0.82545589
10,A,0,0,OF,Farmland,1,Low,A_OF,2019,45048,1,Spring,10,10_3,38,22.3996737,33.7928,103.091283,230.648568,0.695729964,277.1297071,59.58931001,0.520739034,8.727016,7.34,1.96,4,-0.917891143,-0.905641589,1.155304825,-0.365953368,-0.420515265
10,A,0,0,IG,Grassland,0,High,A_IG,2019,45048,1,Spring,10,10_4,39,27.3570766,45.2144399,119.165389,309.281891,0.829860528,417.1649209,53.2062062,0.63128744,7.389444,7.07,2,5,0.216365609,-1.23382458,0.601865388,-0.021526669,0.202470313
10,A,0,0,CF,Farmland,1,High,A_CF,2019,45048,1,Spring,10,10_5,40,19.7838484,39.1530059,79.4496543,237.16656,0.833146394,254.007913,35.11813875,0.46721405,9.305949,7.14,1.93,2,-1.467072055,-0.763596179,0.745349686,-0.624273393,-1.666486419
1,A,0,0,EM,Grassland,0,Low,A_EM,2019,Sept/Oct18,2,Fall,1,1_1,41,30.32889485,48.96075342,144.665573,329.1651517,2.745225,776.4096667,50.45899576,0.841730003,17.525626,5.87,1.98,7,2.375563616,1.253161185,-1.857865444,-0.193740018,1.448441467
1,A,0,0,CF,Farmland,1,High,A_CF,2019,Sept/Oct18,2,Fall,1,1_2,42,27.13099788,48.66511072,110.9855753,294.9533009,0.904280156,288.8454294,28.1458794,0.564922306,16.334041,6.33,1.95,4,-0.464558739,0.960797164,-0.914968625,-0.452060043,-0.420515265
1,A,0,0,OF,Farmland,1,Low,A_OF,2019,Sept/Oct18,2,Fall,1,1_4,43,21.87891235,34.27986491,89.4053794,242.5897433,0.906734521,262.1645462,60.7847581,0.522940505,16.548698,5.99,1.85,3,-0.895303451,1.013464815,-1.611892361,-1.313126792,-1.043500842
1,A,0,0,IG,Grassland,0,High,A_IG,2019,Sept/Oct18,2,Fall,1,1_5,44,33.72023812,43.42746076,143.2179771,358.0232982,1.066324297,318.4624797,40.02762349,0.66637822,15.794697,5.78,1.9,4,0.576406568,0.828465202,-2.042345256,-0.882593417,-0.420515265
