"LUCAS_ID","CONTAINER_ID","Longitude","Latitude","Country","LC_Survey_Code","LC_1","LC_2","LC_3","LC_4","LC_5","Elevation","AnnualPrecip","AnnualTemp","MonthlyPrecipSum","MonthlyMeanTemp","MUB.Xyl","MUB.Cel","MUB.Nag","MUB.Pho","Basal_respiration","Cmic","qO2","water.content","WSA","clay","silt","sand","pH","carbon","funcMaxed","meanFunction","z.MonthlyMeanTemp","z.Basal_respiration","z.clay","z.funcMaxed","z.Elevation","z.MUB.Xyl","z.Cmic","z.silt","z.meanFunction","z.AnnualPrecip","z.MUB.Cel","z.sand","z.Latitude","z.AnnualTemp","z.MUB.Nag","z.water.content","z.pH","z.MonthlyPrecipSum","z.MUB.Pho","z.WSA","z.carbon","z.pca.text"
26581768,96,2658000,1768000,"PORTUGAL","E20","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",0,82,684,172,13.90000021,17.35466628,80.25,129.31,264.35,478.72,0.840202458,971.1340082,0.000865177,7.907441318,91.30434783,25,29,46,7.24,24.6,2,0.37382772717247,-0.0955146797354598,-0.121922349630378,0.151946193570708,2.07657506785779,-0.78767062698067,0.192438873120487,2.88282578138565,-0.526065673603331,1.6706242255128,-0.0386940672568278,1.80324582970683,0.377059177554398,-1.44477197514584,1.87705725010547,1.52786313680034,-0.536861169659143,0.519012309503005,-0.839134203771149,0.0721022772456362,1.35676542396935,-0.0412313366598529,0.518689241461024
28282042,671,2828000,2042000,"PORTUGAL","E20","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",0,340,940,154,0,24.0333328,56.81,25.21,366.68,594.13,2.098448573,324.1997063,0.006472703,13.02681992,58.33333333,11,26,63,5.22,18.8,0,0.246041772381696,1.20960605951812,1.0595680385737,-0.837608682664155,-0.96524937636976,-0.00703171104920414,-0.129021508401094,-0.0690492633681617,-0.677914474722172,0.385789074087679,1.06538311293048,-0.737889241382235,1.04332743797573,-1.01654180053518,1.33708603233015,2.63279802801496,0.0517971586932617,-1.18496794902783,-1.26847579164181,0.348447633701559,-0.124382338575995,-0.186740131241239,1.52412446891539
32621922,514,3262000,1922000,"SPAIN","B31","Sunflower","Non-permanent industrial crops","Cropland","Cropland",1,807,431,143,0,25.12366611,23.02,19.85,30.86,196.58,0,298.1284836,0,3.38107928,44.11764706,37,37,27,7.88,8.8,0,0.117039916292117,1.42267503239147,-0.910870645546585,1.00013608748631,-0.96524937636976,1.40598524143139,-0.592423653947776,-0.188008779733774,-0.121135537286421,-0.911271464172216,-1.12983284298882,-0.868729625445995,-0.36759358409297,-1.20408786240846,1.00710362146746,-0.993306097536633,-1.05733072621156,1.05888724289891,-1.26847579164181,-0.60347244652591,-0.762989679938123,-0.437617363278111,-0.618889058507593
32682126,403,3268000,2126000,"SPAIN","B11","Common wheat","Cereals","Cropland","Cropland",1,952,451,115,51.60000077,21.22499953,49.53,30.21,70.18,64.36,0,200.7661267,0,3.025793651,25.80645161,18,49,33,8.21,4.2,0,0.092410603456713,0.660811778139205,-0.910870645546585,-0.342831244546723,-0.96524937636976,1.84471641511381,-0.228860739522131,-0.632260245125926,0.486259667188944,-1.15890906204583,-1.04357681328669,-0.615836644307832,-0.132440080414854,-0.885259557223883,0.167148393816966,-0.568738131910141,-1.09818370090131,1.33726025543118,0.325339023467405,-0.920068781597412,-1.58557844712022,-0.553020890015072,-0.177366176096504
32682270,362,3268000,2270000,"SPAIN","B13","Barley","Cereals","Cropland","Cropland",1,540,771,124,52.60000078,18.07733293,21.68,15.54,43.21,79.58,0,234.9002615,0,7.763157895,71.05263158,35,50,15,7.94,3.8,1,0.145067169799578,0.0457062106410086,-0.910870645546585,0.858771105167039,0.555662845744016,0.598114735409296,-0.610800655280495,-0.476510734867375,0.536875934228558,-0.629468972159308,0.336519661947454,-0.97393896412413,-0.837900591449202,-0.660204282975943,0.437134002704625,-0.859953748210917,-0.553451784496452,1.10950051790478,0.356226907329105,-0.883625004409481,0.447003177757889,-0.563055979296547,-1.250894327183
32682930,188,3268000,2930000,"FRANCE","B55","Temporary grasslands","Fodder crops","Cropland","Cropland",1,53,929,119,49.60000074,14.15133302,77.28,55.09,135.42,618.29,1.704169286,308.3734898,0.005526316,20.66156915,72.72727273,15,51,34,5.54,27.9,1,0.241432734722005,-0.721498423623122,0.689340638460917,-0.554878718025623,0.555662845744016,-0.875416861717152,0.151707758226328,-0.141262181128151,0.587492201268171,0.33944709848395,1.01794229659431,-0.0085029212656035,-0.0932478298018345,0.371299057327114,0.287141997767037,0.13570780088417,0.92968861164535,-0.915030482329875,0.263563255435127,0.406297939671363,0.522232618829193,0.0415581499123148,-0.10927325246437
32782906,673,3278000,2906000,"FRANCE","B16","Maize","Cereals","Cropland","Cropland",1,85,1103,117,75.60000113,18.40066626,49.92,42.06,149.32,576.65,1.469322068,464.8623349,0.003160768,17.54851551,90.90909091,24,57,19,5.86,24.5,1,0.269318535882126,0.108890834908627,0.468819607276595,0.0812637024110751,0.555662845744016,-0.778593430283792,-0.223512209283504,0.572775573982936,0.891189803505854,0.619827345396357,1.76836975500287,-0.326571989241497,-0.681131588997125,0.333789844952457,0.227145195792001,0.285796679882345,0.571730137724736,-0.645093015631921,1.06664823985474,0.306592362660492,1.3390094067049,-0.0437401089802216,-0.982634645473167
32882938,626,3288000,2938000,"FRANCE","B43","Other fresh vegetables","Dry pulses, vegetables, and flowers","Cropland","Cropland",1,45,991,118,71.80000107,18.32633292,12.48,26.62,61.45,210.94,1.095028681,246.2492033,0.004446831,14.00854982,63.15789474,13,76,11,6.95,18.9,1,0.163308144066147,0.094364883753337,0.117358924158294,-0.696243700344889,0.555662845744016,-0.899622719575492,-0.736971112191696,-0.424727025168578,1.85289887725852,-0.446063487790528,1.28533598867092,-0.703470409007254,-0.99466959390128,0.383802128118666,0.257143596779519,-0.663002586129858,0.164682633036144,0.274381480307984,0.949274280500747,-0.569087910361738,0.0923500988709671,-0.18423135892087,-1.38345758587573
32901910,501,3290000,1910000,"SPAIN","B13","Barley","Cereals","Cropland","Cropland",1,841,500,140,0,25.09066611,60.02,29.17,83.85,92.82,0,193.9857221,0,9.687551661,39.39393939,38,40,22,7.89,6.6,0,0.115241815850123,1.41622629232241,-0.910870645546585,1.07081857864594,-0.96524937636976,1.50886013732934,-0.0849989902831643,-0.663198328132642,0.0307132638324202,-0.929350623634221,-0.832249540516458,-0.641223584499308,-0.563554837158067,-1.22284246859579,0.917108418504907,-0.421132737960138,-0.332172893940713,1.06732278873322,-1.26847579164181,-0.85192227050881,-0.975191492725498,-0.492810354326222,-0.872932169406872
32921902,103,3292000,1902000,"SPAIN","B41","Dry pulses","Dry pulses, vegetables, and flowers","Cropland","Cropland",1,799,436,142,25.40000038,13.65399969,80.91,38.55,68.38,95.46,0.49537785,315.7208161,0.001569038,8.160237389,33.33333333,32,32,36,8.09,12.6,0,0.131664063339352,-0.818685495527566,-0.445711912825841,0.64672363168814,-0.96524937636976,1.38177938357305,0.201490231985856,-0.107737309921081,-0.37421687248449,-0.764231688035144,-1.10826883556329,-0.412252912387728,-0.0148633285757958,-1.23534553938734,0.977105220479942,-0.588174101852351,-0.507793088523128,1.23603370541944,-0.483923537662771,-0.84560087945913,-1.2474504220174,-0.342284015104099,-0.0676637000302077
